Canal,Formato,Tienda,Marca,Genero,Tipo,Precio_Lista,Cantidad_Inventario,Cantidad_Ventas,Despacho
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,FRAGANCIA,449990.0,1.0,0.0,8.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,GORRO,499900.0,3.0,0.0,5.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,GORRO,549900.0,3.0,0.0,3.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,JEAN,849900.0,14.0,0.0,85.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,JEAN,899900.0,38.0,0.0,70.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,JEAN,949900.0,1.0,0.0,9.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,JEAN,999900.0,78.0,0.0,203.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,JEAN,1099900.0,25.0,0.0,87.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,JEAN,1149900.0,8.0,0.0,35.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,JEAN,1199900.0,30.0,0.0,68.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,JEAN,1299900.0,23.0,0.0,83.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,JEAN,1349900.0,21.0,0.0,38.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,JEAN,1399900.0,10.0,0.0,22.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,JEAN,1449900.0,1.0,0.0,10.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,JEAN,1499900.0,14.0,0.0,26.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,JEAN,1599900.0,9.0,0.0,55.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,JEAN,1699900.0,55.0,0.0,83.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,JEAN,1749900.0,1.0,0.0,2.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,JEAN,1799900.0,20.0,0.0,34.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,JEAN,1899900.0,7.0,0.0,12.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,JEAN,1999900.0,14.0,0.0,0.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,JEAN,2099900.0,29.0,0.0,5.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,JEAN,2199900.0,5.0,0.0,10.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,LLAVERO,499900.0,1.0,0.0,1.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,MALETA,2099900.0,1.0,0.0,0.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,MORRAL,949900.0,1.0,0.0,0.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,MORRAL,1199900.0,2.0,0.0,0.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,MORRAL,1349900.0,1.0,0.0,0.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,PANTALON,1099900.0,2.0,0.0,6.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,PANTALON,1499900.0,1.0,0.0,1.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,PANTALON,1949900.0,1.0,0.0,4.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,POLO,399900.0,4.0,0.0,13.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,POLO,699900.0,5.0,0.0,11.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,POLO,2199900.0,3.0,0.0,3.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,RELOJ,1399900.0,1.0,0.0,1.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,ROPA INTERIOR,249900.0,19.0,0.0,40.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,ROPA INTERIOR,299900.0,19.0,0.0,47.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,TENIS,999900.0,34.0,0.0,75.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,TENIS,1099900.0,71.0,0.0,118.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,TENIS,1199900.0,30.0,0.0,75.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,TENIS,1249900.0,10.0,0.0,16.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,TENIS,1299900.0,50.0,0.0,43.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,TENIS,1349900.0,7.0,0.0,10.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,TENIS,1399900.0,40.0,0.0,30.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,TENIS,1499900.0,9.0,0.0,1.0
