CodigoAlmacen,nombrealmacen,Marca,Genero,Tipo,f126_precio,Despacho
pf745,PILATOS VIVA TUNJA,SUPERDRY,MASCULINO,MORRAL,339900.0,1.0
PF713,PILATOS ARAUCA,MONASTERY,FEMENINO,CAMISETA,270000.0,1.0
ML419,DIESEL SANTAFE BOGOTA,DIESEL ADULTO,MASCULINO,CAMISETA,449900.0,50.0
PF166,PILATOS CAMPANARIO POPAYAN,SUPERDRY,MASCULINO,MORRAL,299900.0,7.0
BBC2 ,BROKEN CHAINS BOGOTA,NEW BALANCE,FEMENINO,TENIS,994900.0,1.0
PL146,PILATOS VIVA LC 143 ENVIGADO,NEW BALANCE,MASCULINO,TENIS,779900.0,3.0
PL111,PILATOS UNICENTRO CALI,OAKLEY,MASCULINO,GORRO,125900.0,3.0
PL111,PILATOS UNICENTRO CALI,DIESEL ADULTO,FEMENINO,JEAN,1349900.0,8.0
PL145,PILATOS DE MODA PRIME OUTLET LC 227,DIESEL ADULTO,FEMENINO,JEAN,2099900.0,7.0
PL142,PILATOS MEGAMALL BUCARAMANGA,MARITHE FRANCOIS GIRBAUD,FEMENINO,FALDA,419900.0,3.0
PL135,PILATOS MULTIPLAZA LA FELICIDAD BOGOTA,MONASTERY,FEMENINO,CAMISETA,290000.0,3.0
PL104,PILATOS BUENAVISTA SANTA MARTA,CLEMONT,MASCULINO,JEAN,650000.0,4.0
ML609,SUPERDRY VIVA LC 142 ENVIGADO,SUPERDRY,FEMENINO,FALDA,499900.0,7.0
ML410,DIESEL UNICENTRO CALI,DIESEL ADULTO,MASCULINO,CHAQUETA,1899900.0,6.0
ML426,DIESEL MULTIPLAZA LA FELICIDAD BOGOTA,DIESEL ADULTO,UNISEX,RELOJ,2199900.0,1.0
PLP06,PILATOS FLORIDA PARQUE COMERCIAL,MARITHE FRANCOIS GIRBAUD,MASCULINO,JEAN,449900.0,30.0
PF188,PILATOS CACIQUE BUCARAMANGA,DIESEL ADULTO,MASCULINO,JEAN,1999900.0,2.0
ML669,KIPLING CENTRO COMERCIAL EL EDÉN,KIPLING,FEMENINO,BOLSO,199900.0,21.0
PL14P,PILATOS SAN NICOLAS RIONEGRO,MARITHE FRANCOIS GIRBAUD,MASCULINO,TENIS,549900.0,15.0
ML218,NEW BALANCE ARBOLEDA,NEW BALANCE,FEMENINO,CAMISETA,176900.0,2.0
PL139,PILATOS VIVA VILLAVICENCIO,PILATOS,UNISEX,MATERIAL PUBLICITARIO,11250.0,6.0
PL146,PILATOS VIVA LC 143 ENVIGADO,AP CROWN,FEMENINO,CAMISETA,260000.0,8.0
PL145,PILATOS DE MODA PRIME OUTLET LC 227,DIESEL ADULTO,FEMENINO,BUZO,1249900.0,2.0
CDEDM,CENTRO DE DISTRIBUCION EDM,MONOIC,UNISEX,CAMISETA,300000.0,1.0
PL102,PILATOS PORTAL DEL QUINDIO ARMENIA,CLEMONT,FEMENINO,CHAQUETA,500000.0,8.0
PL139,PILATOS VIVA VILLAVICENCIO,NEW BALANCE,FEMENINO,TENIS,599900.0,46.0
PLP05,PILATOS JEANS ANDINO BOGOTA,OAKLEY,MASCULINO,TENIS,629900.0,2.0
PLP06,PILATOS FLORIDA PARQUE COMERCIAL,DIESEL ADULTO,MASCULINO,TENIS,999900.0,52.0
PO317,PILATOS UNICENTRO PEREIRA,DIESEL ADULTO,FEMENINO,TENIS,1299900.0,1.0
PL335,PILATOS OUTLET AMERICAS 2 BOG,REPLAY,FEMENINO,JEAN,549900.0,3.0
pf170,PILATOS UNICENTRO VILLAVICENCIO,SUPERDRY,FEMENINO,CAMISETA,159900.0,13.0
PL17P,PILATOS ACCESORIOS SAN NICOLAS RIONEGRO,CLEMONT,MASCULINO,GORRO,300000.0,2.0
PF720,PILATOS PASTO,MARITHE FRANCOIS GIRBAUD,FEMENINO,CAMISETA,199900.0,24.0
MO481,DIESEL OUTLET AMERICAS FACTORY BOGOTA,DIESEL ADULTO,FEMENINO,BUZO,949900.0,1.0
PL12P,PILATOS UNICO VILLAVICENCIO,MARITHE FRANCOIS GIRBAUD,MASCULINO,CAMISETA,109900.0,116.0
PF726,PILATOS CABLE PLAZA MANIZALES,NEW BALANCE,MASCULINO,TENIS,1018900.0,1.0
PL03P,PILATOS GRAN ESTACION 2 BOGOTA,MARITHE FRANCOIS GIRBAUD,MASCULINO,CHAQUETA,449900.0,5.0
PLP15,PILATOS NUESTRO ATLANTICO,SUPERDRY,FEMENINO,CAMISETA,159900.0,4.0
PO319,PILATOS OUTLET LA TORRE ITAGUI,NO APLICA,MASCULINO,BUZO,39900.0,23.0
PL10P,PILATOS UNICO PASTO,DIESEL ADULTO,MASCULINO,CAMISETA,399900.0,66.0
PL110,PILATOS JARDIN PLAZA CALI,SUPERDRY,MASCULINO,CAMISETA,199900.0,5.0
ML221,NEW BALANCE NQS MALLPLAZA BOGOTA,NEW BALANCE,NIÑO,TENIS,649900.0,7.0
PL131,PILATOS GRAN PLAZA IPIALES,MARITHE FRANCOIS GIRBAUD,MASCULINO,BUZO,289900.0,8.0
pl141,PILATOS BUENAVISTA MONTERIA,CLEMONT,MASCULINO,CAMISETA,380000.0,4.0
PL139,PILATOS VIVA VILLAVICENCIO,MARITHE FRANCOIS GIRBAUD,MASCULINO,CAMISETA,239900.0,64.0
ML624,SUPERDRY NQS MALL PLAZA BOGOTA,NEW BALANCE,FEMENINO,TENIS,445900.0,10.0
ML613,SUPERDRY ARKADIA MEDELLIN,SUPERDRY,MASCULINO,CAMISETA,219900.0,86.0
PF727,PILATOS FUNDADORES MANIZALES,AP CROWN,MASCULINO,BERMUDA,360000.0,4.0
PL17P,PILATOS ACCESORIOS SAN NICOLAS RIONEGRO,PILATOS,UNISEX,PROTECCION,29900.0,5.0
PLP08,PILATOS CENTRO COMERCIAL EL EDÉN,DIESEL ADULTO,MASCULINO,CHAQUETA,1999900.0,1.0
PLP14,PILATOS NUESTRO MONTERIA,SUPERDRY,FEMENINO,CAMISETA,159900.0,3.0
PF166,PILATOS CAMPANARIO POPAYAN,DIESEL ADULTO,MASCULINO,FRAGANCIA,379900.0,3.0
PLP13,PILATOS UNICO CALI 2,DIESEL ADULTO,FEMENINO,TENIS,799900.0,2.0
PF738,PILATOS ACCESORIOS MALL PLAZA MANIZALES,MONASTERY,UNISEX,BOLSO,650000.0,2.0
PL113,PILATOS EL TESORO MEDELLIN,MARITHE FRANCOIS GIRBAUD,MASCULINO,CAMISETA,149900.0,4.0
PL122,PILATOS ARRECIFE SANTA MARTA,SUPERDRY,MASCULINO,CAMISETA,169900.0,1.0
PL131,PILATOS GRAN PLAZA IPIALES,MARITHE FRANCOIS GIRBAUD,MASCULINO,JEAN,669900.0,6.0
PL148,PILATOS ARKADIA MEDELLIN,REPLAY,MASCULINO,TENIS,699900.0,7.0
PL13P,PILATOS NQS MALL PLAZA BOGOTA,CONVERSE,FEMENINO,TENIS,414950.0,6.0
ML606,SUPERDRY OVIEDO MEDELLIN,SUPERDRY,MASCULINO,BUZO,399900.0,1.0
PL116,PILATOS ARBOLEDA PEREIRA,MONASTERY,UNISEX,GORRO,340000.0,24.0
CDEDM,CENTRO DE DISTRIBUCION EDM,NIKE,FEMENINO,TENIS,614950.0,9.0
ML219,NEW BALANCE VIVA ENVIGADO,NEW BALANCE,MASCULINO,GORRO,119900.0,4.0
PO302,PILATOS PLAZA CENTRAL  BOGOTA,AP CROWN,MASCULINO,CAMISA,200000.0,6.0
ML225,NEW BALANCE FLORIDA PARQUE COMERCIAL,NEW BALANCE,UNISEX,TENIS,564900.0,25.0
PO302,PILATOS PLAZA CENTRAL  BOGOTA,DIESEL ADULTO,MASCULINO,BUZO,1449900.0,1.0
ML213,NEW BALANCE DE MODA PRIME OUTLET LC 121,NEW BALANCE,MASCULINO,GORRO,114900.0,2.0
PO302,PILATOS PLAZA CENTRAL  BOGOTA,OAKLEY,MASCULINO,TENIS,449900.0,2.0
ML210,NEW BALANCE EL TESORO MEDELLIN,NEW BALANCE,MASCULINO,TENIS,569900.0,4.0
MF728,SUPERDRY PASTO,SUPERDRY,FEMENINO,BUZO,419900.0,20.0
PLP14,PILATOS NUESTRO MONTERIA,REPLAY,FEMENINO,JEAN,249900.0,7.0
PL123,PILATOS UNICENTRO ARMENIA,CONVERSE,FEMENINO,TENIS,414950.0,4.0
PF172,PILATOS UNICENTRO YOPAL,NEW BALANCE,UNISEX,TENIS,649900.0,21.0
