,Tienda,Marca,Genero,Tipo,Precio_Intervalo,Cantidad_Inventario,Porcentaje_Actual,Porcentaje_Ventas
162,PILATOS ACCESORIOS PUERTA DEL NORTE BELL,ALPINESTARS,MASCULINO,GORRO,"[139500.0, 142900.0)",3.0,0.21428571428571427,0.09722222222222222
163,PILATOS ACCESORIOS PUERTA DEL NORTE BELL,ALPINESTARS,MASCULINO,GORRO,"[142900.0, 146300.0)",1.0,0.07142857142857142,0.125
164,PILATOS ACCESORIOS PUERTA DEL NORTE BELL,ALPINESTARS,MASCULINO,GORRO,"[153100.0, 156500.0)",1.0,0.07142857142857142,0.027777777777777776
165,PILATOS ACCESORIOS PUERTA DEL NORTE BELL,ALPINESTARS,MASCULINO,GORRO,"[156500.0, 159934.0)",5.0,0.35714285714285715,0.013888888888888888
166,PILATOS ACCESORIOS SAN NICOLAS RIONEGRO,ALPINESTARS,MASCULINO,GORRO,"[115900.0, 120000.0)",1.0,0.05555555555555555,0.1
167,PILATOS ACCESORIOS SAN NICOLAS RIONEGRO,ALPINESTARS,MASCULINO,GORRO,"[124100.0, 128200.0)",8.0,0.4444444444444444,0.15
168,PILATOS ACCESORIOS SAN NICOLAS RIONEGRO,ALPINESTARS,MASCULINO,GORRO,"[132300.0, 136400.0)",2.0,0.1111111111111111,0.325
169,PILATOS ACCESORIOS SAN NICOLAS RIONEGRO,ALPINESTARS,MASCULINO,GORRO,"[136400.0, 140500.0)",5.0,0.2777777777777778,0.05
170,PILATOS ACCESORIOS SAN NICOLAS RIONEGRO,ALPINESTARS,MASCULINO,GORRO,"[144600.0, 148700.0)",1.0,0.05555555555555555,0.1
171,PILATOS ACCESORIOS SAN SILVIESTRE,ALPINESTARS,MASCULINO,GORRO,"[115900.0, 124900.0)",2.0,0.125,0.23404255319148937
172,PILATOS ACCESORIOS SAN SILVIESTRE,ALPINESTARS,MASCULINO,GORRO,"[124900.0, 133900.0)",6.0,0.375,0.2978723404255319
173,PILATOS ACCESORIOS SAN SILVIESTRE,ALPINESTARS,MASCULINO,GORRO,"[133900.0, 142900.0)",2.0,0.125,0.2553191489361702
174,PILATOS ACCESORIOS VIVA ENVIGADO,ALPINESTARS,MASCULINO,GORRO,"[125900.0, 133900.0)",5.0,0.29411764705882354,0.4358974358974359
175,PILATOS ACCESORIOS VIVA ENVIGADO,ALPINESTARS,MASCULINO,GORRO,"[133900.0, 141900.0)",3.0,0.17647058823529413,0.28205128205128205
176,PILATOS ACCESORIOS VIVA ENVIGADO,ALPINESTARS,MASCULINO,GORRO,"[141900.0, 149900.0)",1.0,0.058823529411764705,0.15384615384615385
177,PILATOS ARAUCA,ALPINESTARS,MASCULINO,GORRO,"[125900.0, 129000.0)",1.0,0.5,0.21428571428571427
178,PILATOS ARAUCA,ALPINESTARS,MASCULINO,GORRO,"[153800.0, 156931.0)",1.0,0.5,0.10714285714285714
179,PILATOS ARBOLEDA PEREIRA,ALPINESTARS,MASCULINO,GORRO,"[115900.0, 124900.0)",1.0,0.0625,0.26436781609195403
180,PILATOS ARBOLEDA PEREIRA,ALPINESTARS,MASCULINO,GORRO,"[124900.0, 133900.0)",2.0,0.125,0.26436781609195403
181,PILATOS ARBOLEDA PEREIRA,ALPINESTARS,MASCULINO,GORRO,"[133900.0, 142900.0)",6.0,0.375,0.2413793103448276
